id,city_id,city_name,country_name,name,description,short_description,latitude,longitude,location,type,created_at
144,25,PRISTINA,Kosovo,Liburnia Restaurant,"{'Location': ['Located centrally in Pristina, the restaurant offers easy access to both locals and tourists exploring the city.'], 'Facilities & Services': ['Services: Friendly and professional staff, 24/7 service, and event hosting options', 'Ambiance: A warm and inviting atmosphere with a mix of traditional decor and modern touches, offering both indoor and outdoor seating areas.', 'Amenities: Free Wi-Fi, comfortable indoor and outdoor seating, air conditioning'], 'Main Dishes': ['Fresh salads and Mediterranean-inspired dishes', 'Desserts like Baklava and homemade sweets', 'Traditional Kosovar Stews', 'Grilled meats and local specialties']}","Liburnia Restaurant offers a perfect mix of traditional Kosovar cuisine and modern dishes in a cozy and charming atmosphere, making it a must-visit spot in Pristina for food lovers.",42.6668053,21.1606604,https://maps.app.goo.gl/m8eqVKC7cnxgPCbUA,restaurant,2025-02-02T13:31:41.000000Z
143,25,PRISTINA,Kosovo,Soma Book Station Restaurant,"{'Location': ['The restaurant is centrally located in Pristina, making it an ideal destination for both locals and visitors.'], 'Facilities & Services': ['Services: Attentive staff, casual dining experience, and a selection of beverages.', 'Ambiance: Warm, cozy, and artistic, with bookshelves filled with books for guests to browse while enjoying their meals.', 'Amenities: Free Wi-Fi, cozy seating, air conditioning, and a selection of books for guests.'], 'Main Dishes': ['Fresh sandwiches and wraps', 'Pastries and light snacks', 'Coffee, juices, and specialty teas', 'Vegetarian and vegan options available']}","perfect blend of books and cuisine, offering delicious food and a literary atmosphere where visitors can relax and indulge in both reading and dining.",42.663907,21.1600164,https://maps.app.goo.gl/mrGY5Vir4ecSkfjq8,restaurant,2025-02-02T13:21:01.000000Z
142,25,PRISTINA,Kosovo,Princess Gresa Restaurant,"{'Location': ['The restaurant is situated in the center of Pristina, making it an easily accessible spot for both locals and tourists.'], 'Facilities & Services': ['Amenities: Free Wi-Fi, air conditioning, parking availability.', 'Services: Friendly staff, banquet services for events, and live music on certain evenings.', 'Ambiance: Elegant and spacious, with both indoor and outdoor seating options.'], 'Main Dishes': ['Grilled meats and kebabs', 'Traditional Balkan stews', 'Fresh salads with regional ingredients', 'Desserts like baklava and traditional sweets']}","Princesha Gresa offers a refined dining experience with delicious Balkan cuisine in a stylish atmosphere, perfect for a casual meal or special occasion.",42.6644209,21.1573374,https://maps.app.goo.gl/BWhVpy4ynkAiJd4K9,restaurant,2025-02-02T13:10:24.000000Z
140,25,PRISTINA,Kosovo,Casa Rita Restaurant,"{'Location': ['Located in the heart of Pristina, Casa Rita is easily accessible, making it a popular choice for both locals and tourists.'], 'Facilities & Services:': ['Amenities: Free Wi-Fi, air conditioning, and parking.', 'Services: Friendly and attentive service, with staff offering personalized dining recommendations.', 'Atmosphere: Cozy, with a charming Mediterranean-inspired interior.'], 'Main Dishes:': ['Fresh pasta dishes', 'Wood-fired pizzas', 'Seafood specialties', 'Grilled meats and Mediterranean salads']}","Casa Rita offers delicious Mediterranean and Italian meals in a welcoming setting, ideal for an authentic dining experience.",42.6668976,21.1829653,https://maps.app.goo.gl/19AmUSktNQvfwtEj7,restaurant,2025-02-02T13:00:09.000000Z
138,24,Prizren,Kosovo,Fuad-As,"{'Location': ['Located in Prizren, a historic city known for its cultural heritage and scenic views.'], 'Services': ['Dine-in options with a comfortable ambiance.', 'Friendly and attentive service.', 'Spacious seating suitable for both small and large groups.'], 'Main Dishes': ['Traditional Kosovar dishes with a mix of Mediterranean influences.', 'Popular for grilled meats, local specialties, and fresh salads.', 'Vegetarian and vegan options available.'], 'Working Hours': ['Monday to Sunday: 12:00 PM - 10:00 PM']}",A popular spot offering a blend of Kosovar flavors in a cozy environment. Perfect for both locals and tourists seeking authentic meals.,42.1769219,20.8077488,https://maps.app.goo.gl/SEZUvtapXgvWnFZd7,restaurant,2025-02-02T12:29:32.000000Z
137,24,Prizren,Kosovo,Neapolitan our Restaurant,"{'Location': [""Located in the picturesque city of Prizren, Napoletana Nostra is centrally situated, providing easy access for those exploring the city's historical landmarks and cultural sites.""], 'Facilities & Services': ['Cuisine: Primarily Italian, with a focus on Neapolitan-style pizzas made from fresh, high-quality ingredients.', 'Ambiance: A welcoming, family-friendly atmosphere with a traditional yet modern interior design.', 'Takeout and Delivery: Available for those who prefer to enjoy their meals at home.', 'Outdoor Seating: Offers an outdoor seating area perfect for enjoying meals in the warm weather.', 'Reservations: Recommended for peak hours, especially on weekends.'], 'Main Dishes': ['Pasta Dishes: Traditional Italian pasta with various sauces.', 'Neapolitan Pizza: Thin-crust pizzas with fresh toppings.', 'Desserts: Italian desserts like tiramisu and panna cotta.', 'Drinks: A selection of wines and beverages to complement the meal.'], 'working hours': ['Monday to Thursday: 11:00 AM – 10:00 PM', 'Friday to Sunday: 11:00 AM – 11:00 PM']}","An authentic Italian restaurant in Prizren, serving traditional Neapolitan pizza and more.",42.2085355,20.7386335,https://maps.app.goo.gl/pmVbr5wnyFJNZ1EA8,restaurant,2025-02-02T12:22:03.000000Z
70,27,Peja,Kosovo,Lorik Center,"{'Location': ['Located in Peja, a city known for its natural beauty and rich history, Lorik Center is centrally located and accessible for those exploring the area.'], 'Things to Do': ['Shopping: Explore the variety of shops offering everything from fashion to electronics.', 'Dining: Enjoy meals at the many restaurants, ranging from fast food to fine dining.', 'Entertainment: Visit the cinema, enjoy some arcade games, or attend a local event.'], 'Facilities & Services': ['Parking: Spacious parking area for visitors.', 'Wi-Fi: Free Wi-Fi access throughout the center.', 'Entertainment: Includes a movie theater, gaming zone, and event spaces for different occasions.']}","A lively shopping and entertainment complex in Peja, offering retail, dining, and leisure activities.",42.6540437,20.3032305,https://maps.app.goo.gl/itFyqSP5EdcsQWTDA,shop,2025-02-02T11:00:29.000000Z
195,27,Peja,Kosovo,Rugova Canyon,"{'Location': ['Rugova Canyon is located near the city of Peja in western Kosovo. It stretches for approximately 25 kilometers and is one of the longest and deepest canyons in Europe, with depths reaching up to 1,000 meters.'], 'Activities & Adventure': ['Hiking: Numerous trails of varying difficulty levels offer incredible views of the canyon.', 'Rock Climbing: The steep cliffs attract climbers looking for a challenge.', 'Via Ferrata: A secured climbing route with metal cables and ladders for adventurers.', 'Caving & Exploring: The Great Canyon Cave, one of Kosovo’s largest caves, is located within the canyon.'], 'Cultural & Historical Significance': ['Peć Patriarchate: A historic Serbian Orthodox monastery and UNESCO World Heritage Site.', 'Traditional Kosovar Villages: Small mountain villages offer a glimpse into the local way of life.']}","A stunning 25 km-long canyon near Peja, offering hiking, climbing, and breathtaking natural views.",42.6938778,20.1549821,https://maps.app.goo.gl/Lz1qSs1pwuTybUQS9,tourist place,2025-02-02T10:26:35.000000Z
135,25,PRISTINA,Kosovo,Garden Open Kitchen,"{'Location': ['Situated in the heart of Pristina, Garden Open Kitchen offers both indoor and outdoor seating, providing guests with a cozy and picturesque atmosphere.'], 'Main Dishes': ['Grilled meats and fresh seafood', 'A selection of drinks, including freshly squeezed juices and cocktails', 'Homemade desserts', 'Specialty sandwiches and wraps'], 'Facilities & Services': ['Open kitchen where guests can see the chefs at work', 'Comfortable and spacious seating, both indoors and in the garden', 'Free Wi-Fi for customers', 'Excellent customer service in a relaxed atmosphere']}","Garden Open Kitchen is a perfect spot for enjoying fresh, tasty meals in a cozy, open-air setting. It's ideal for those looking for an enjoyable dining experience while being able to see their food being prepared.",42.6430579,21.1410873,https://maps.app.goo.gl/6A4oLkjANPh8WF3c7,restaurant,2025-01-30T21:29:50.000000Z
134,74,Podgorica,Montenegro,Code fat Restaurant,"{'Info': ['Kod Feta is a family-owned restaurant in Podgorica, Montenegro, renowned for its burek specialties and a variety of international dishes.'], 'Restaurant Features': ['The establishment offers indoor seating with a non-smoking policy, ensuring a comfortable dining experience.'], 'Main Dishes': ['Specialties include burek with various fillings, risotto, vegan salads, and other international dishes.'], 'Working Hours': ['Open daily from 6:30 AM to 12:00 AM.']}",Family-owned eatery specializing in burek and international cuisine.,42.4350673,19.2789534,https://maps.app.goo.gl/MDTSM16ZLmPnt3Tc9,restaurant,2025-01-30T21:18:57.000000Z
133,74,Podgorica,Montenegro,Turkish Restaurant Podgorica,"{'Info': ['Turkish Restaurant Podgorica offers authentic Turkish cuisine in a welcoming atmosphere.'], 'Restaurant Features': ['The restaurant provides indoor seating with a non-smoking policy, ensuring a comfortable dining experience.'], 'Main Dishes': ['Specialties include shish kebabs, lahmacun, and various Turkish mezes.'], 'Working Hours': ['Operating hours are from 8:00 AM to 12:00 AM daily.']}",Authentic Turkish restaurant offering traditional dishes in a cozy setting.,42.4380233,19.213787,https://maps.app.goo.gl/QcnPUbRzk5H5Rdsn9,restaurant,2025-01-30T21:05:37.000000Z
131,74,Podgorica,Montenegro,Antioch Restaurant,"{'Info': ['Antioch Restaurant is a Turkish establishment located in Podgorica, Montenegro, offering authentic Turkish cuisine in a welcoming atmosphere.'], 'Restaurant Features': ['The restaurant provides indoor seating with a non-smoking policy, ensuring a comfortable dining experience.'], 'Main Dishes': ['Specialties include shish kebabs, lahmacun, and various Turkish mezes.'], 'Working Hours': ['Operating hours are from 8:00 AM to 12:00 AM daily.']}",Authentic Turkish restaurant offering traditional dishes in a cozy setting.,42.4424413,19.2435877,https://maps.app.goo.gl/AL8AFGnBRkG9BzVY6,restaurant,2025-01-30T20:40:33.000000Z
130,74,Podgorica,Montenegro,Arabian Tea House Montenegro,"{'Info': ['Arabian Tea House is the first authentic Emirati restaurant in Montenegro, offering a variety of traditional Middle Eastern dishes in a cozy atmosphere.'], 'Restaurant Features': ['Outdoor seating, wheelchair accessible, accepts credit cards, free Wi-Fi, family-friendly ambiance.'], 'Main Dishes': ['Falafel, Hummus, Fattoush, Shawarma, Moussaka, Emirati Kebab, Chicken Biriani, Lamb Machbook.'], 'Working Hours': ['Open daily from 8:00 AM to 12:00 AM.']}",Authentic Emirati restaurant offering traditional Middle Eastern cuisine in a cozy setting.,42.4405522,19.2323318,https://maps.app.goo.gl/Wm3597isEiopsL437,restaurant,2025-01-30T20:18:42.000000Z
129,27,Peja,Kosovo,Flo's Restaurant,"{'Location': [""Flo's Restaurant is situated in the heart of Peja, making it easily accessible for both locals and visitors.""], 'Popular Dishes': ['Savory Pasta Dishes: A variety of pasta options, each crafted with unique flavors.', 'Salmon: Freshly prepared, offering a healthy and delicious option.', 'Tomahawk Steak: A premium cut of beef, known for its tenderness and rich flavor.'], 'Operating Hours': [""Flo's Restaurant operates daily, offering breakfast, lunch, and dinner services.""]}","Flo's Restaurant in Peja offers a sophisticated dining experience with a menu featuring international-inspired dishes, emphasizing fresh, locally sourced ingredients.",42.659628,20.28975,https://maps.app.goo.gl/GwEfVKxtz6DaDfeJ6,restaurant,2025-01-30T20:00:48.000000Z
153,24,Prizren,Kosovo,Restaurant marashi,"{'Location': ['Albanian Fires P.N, Prizren, Kosovo.'], 'Popular Dishes': ['Veal, Soups, and Salads: High-quality dishes that are widely enjoyed.', 'Steak on Stone: A signature dish where tender meat is served on a hot stone, allowing guests to cook it to their preference.'], 'Facilities & Services': ['Indoor and outdoor seating with views of the river.', 'Excellent customer service with a friendly staff.']}",A riverside restaurant in Prizren offering steak on stone and delicious local dishes.,42.2118612,20.7434434,https://maps.app.goo.gl/oCXoG9YjyiyTnJ4R7,restaurant,2025-01-30T19:48:56.000000Z
164,25,PRISTINA,Kosovo,HOME Restaurant,"{'Location': ['Pristina, Kosovo.'], 'Main Dishes': ['Appetizers: A variety of starters inspired by Mediterranean and Asian cuisines.', 'Main Courses: Includes Italian pasta dishes, Asian specialties, and traditional healthy options.', 'Desserts: A selection of sweet treats to conclude your meal.'], 'Facilities & Services:': ['Free Wi-Fi available for guests.', 'Friendly and attentive staff.', 'Cozy indoor seating with a welcoming ambiance.', 'Charming garden area for outdoor dining.'], 'Operating Hours': ['Open daily from 8:00 AM to 11:30 PM.']}","HOME Restaurant & Lounge Bar is praised for its delicious food, generous portions, and friendly service. It's a popular choice among both locals and visitors seeking a memorable dining experience in Pristina.",42.6647325,21.1580465,https://maps.app.goo.gl/kqtrHTMqdpWYjxWq6,restaurant,2025-01-30T19:36:43.000000Z
128,25,PRISTINA,Kosovo,Taverna Tirona,"{'Location': ['2 July No.12, Pristina, Kosovo'], 'Overview': ['Taverna Tirona is a well-known restaurant in Pristina, offering a cozy and traditional atmosphere with a focus on Balkan and Mediterranean cuisine. Established in 2002, it is recognized as the first tavern in Kosovo and has since become a popular dining spot for locals and tourists alike.'], 'Main Dishes': ['Appetizers & Meze: Chicken Fingers, Sesame Fried Cheese with Honey, Hand-cut French Fries', 'Drinks: Wide selection of local and international wines, beers, and spirits', 'Main Courses: Tirona Burger (100% local beef), Chicken Wrap, Grilled Beef Steaks', 'Salads: Caesar Salad, Greek Salad, Shope Salad'], 'Facilities & Services': ['Dining Options: Indoor and outdoor seating available', 'Wi-Fi: Free Wi-Fi for guests', 'Atmosphere: Cozy, traditional, and family-friendly', 'Payment Methods: Cash & credit card payments accepted'], 'Opening Hours': ['Monday - Sunday: 8 AM – 12 AM']}",A cozy and authentic tavern in Pristina serving delicious Balkan cuisine with a warm and welcoming atmosphere.,42.6608049,21.1596841,https://maps.app.goo.gl/a7NzV8huK11spaGL8,restaurant,2025-01-30T19:12:25.000000Z
194,27,Peja,Kosovo,Patriarchate of Peja,"{'Location': ['Situated near Peja, at the entrance of Rugova Canyon, the Pećka Patrijaršija is a significant Serbian Orthodox monastery complex surrounded by breathtaking natural landscapes.'], 'Historical Significance': ['Founded in the 13th century, it served as the spiritual and administrative center of the Serbian Orthodox Church.', 'Recognized as a UNESCO World Heritage Site for its religious and cultural importance.'], 'Architecture & Features': ['The complex comprises four interconnected churches adorned with well-preserved medieval frescoes.', 'The frescoes, dating back to the 13th and 14th centuries, depict biblical scenes and Orthodox saints.', 'Enclosed within high stone walls, giving it a fortress-like appearance.']}","A medieval monastery with stunning frescoes and deep religious significance, set in a picturesque natural environment.",42.661105,20.2630763,https://maps.app.goo.gl/BLthVqSfZYuhTvUt8,tourist place,2025-01-30T18:15:36.000000Z
193,27,Peja,Kosovo,Rugova Mountain,"{'Location': ['Rugova is a breathtaking mountainous region in western Kosovo, near the city of Peja. It is part of the Accursed Mountains (Bjeshkët e Nemuna) and is known for its stunning landscapes, deep canyons, and outdoor adventure opportunities.'], 'Attractions & Activities': ['Waterfalls & Caves: Home to the White Drin Waterfall and various hidden caves.', 'Via Ferrata Adventures: Climbing routes secured with steel cables for adventure seekers.', 'Skiing & Winter Sports: The region offers skiing and snowboarding opportunities during winter.', 'Hiking & Trekking: Trails leading to beautiful peaks, waterfalls, and glacial lakes.']}","A stunning mountainous retreat offering breathtaking nature, adventure sports, and cultural landmarks.",42.7784954,20.0483914,https://maps.app.goo.gl/DC8rbPCV3CAFA1WV8,tourist place,2025-01-30T18:06:31.000000Z
277,26,Boge,Kosovo,Vila rudi toni,"{'Location': ['Vila Rudi Toni is located in Boge, Kosovo, offering a scenic retreat with mountain views, perfect for nature lovers and adventure seekers. The villa is situated in a quiet area, surrounded by natural beauty, and is close to popular tourist destinations.'], 'Facilities & Services': ['Amenities: Free Wi-Fi, free private parking, and mountain views.', 'Services: 24-hour reception, terrace with seating, and access to a garden. Ski equipment rental services are also available.', 'Activities: Skiing in the nearby areas and exploring the surrounding nature.', 'Additional Services: Restaurant serving local and international dishes, and ski services for those interested in winter sports.'], 'Rooms': ['The villa features 2 bedrooms, a living room with a flat-screen TV with cable channels, a fully-equipped kitchen, and a private bathroom with slippers. The units have access to a balcony or terrace offering stunning views of the mountains.'], 'Nearby Attractions': ['High Decani Monastery: 45 km', 'Plae Lake: 39 km, 39 k km', 'Bovilla Lake: 39 km']}","A cozy villa in a peaceful location with mountain views, perfect for a relaxing stay or a skiing getaway.",42.7407738,20.0514747,https://maps.app.goo.gl/F7SmT8XTm5PvNN3Q9,hotel,2025-01-30T16:20:30.000000Z
276,26,Boge,Kosovo,Villa Alpina,"{'Location': ['Villa Alpina is located in the beautiful area of Peja, Kosovo, providing easy access to the surrounding mountains and natural attractions. The property is situated in a peaceful location, perfect for guests seeking tranquility while still being close to the town center.'], 'Facilities & Services': ['Activities: Hiking and outdoor activities in the nearby Rugova Valley and surrounding nature.', 'Additional Services: A spacious terrace with mountain views, garden, and shared lounge area.', 'Amenities: Free Wi-Fi, private parking, and air conditioning.'], 'Rooms': ['The villa offers well-furnished rooms, featuring modern amenities such as flat-screen TVs, minibars, private bathrooms, and air conditioning. Some rooms offer balconies with panoramic views of the mountains.'], 'Nearby Attractions': ['Ethnological Museum Peja: 3 km', 'Peja Patriarchate: 5 km', 'High Decani Monastery: 12 km']}","A charming villa that offers a cozy and peaceful retreat in the heart of nature, ideal for nature lovers and those seeking a relaxing stay near outdoor adventures.",42.743866,19.4468916,https://maps.app.goo.gl/Bf8zpxSBTDq2iFZu6,hotel,2025-01-30T16:14:10.000000Z
275,27,Peja,Kosovo,Hotel Dukagjini,"{'Location': ['Hotel Dukagjini is located in the city of Peja, Kosovo, offering easy access to local attractions and cultural sites. It is just a short drive from the famous Ethnological Museum and the scenic Rugova Canyon.'], ' Facilities & Services': ['Activities: Hiking, cultural tours, and access to nearby outdoor recreational sites.', 'Services: 24-hour front desk, room service, and laundry facilities.', 'Additional Services: On-site restaurant offering a variety of local and international dishes, bar, and event spaces for conferences or meetings.'], 'Facilities & Services': ['Activities: Hiking, cultural tours, and access to nearby outdoor recreational sites.', 'Services: 24-hour front desk, room service, and laundry facilities.', 'Additional Services: On-site restaurant offering a variety of local and international dishes, bar, and event spaces for conferences or meetings.'], 'Rooms': ['The hotel offers a variety of room types, all featuring modern amenities such as flat-screen TVs, minibars, private bathrooms, and air conditioning. Some rooms come with a balcony offering views of the surrounding mountains and city.'], 'Nearby Attractions': ['Risea Care: 25 km.', 'Peja Patriarchate: 7 km', 'Ethnological Museum Peja: 3 km']}","A comfortable and well-equipped hotel, ideal for guests seeking relaxation and exploration of the natural beauty and cultural heritage of Peja.",42.6591159,20.2869391,https://maps.app.goo.gl/R62pKWKRMiLcJQJz9,hotel,2025-01-30T15:55:35.000000Z
274,27,Peja,Kosovo,Hotel Gold Inn,"{'Location': ['Hotel Gold Inn is located in the heart of Pristina, Kosovo, providing easy access to the city’s key cultural and business districts. It is a few minutes’ drive from the central square and the main attractions in the city.'], 'Facilities & Services': ['Services: 24-hour front desk, room service, and laundry services.', 'Activities: Nearby cultural sites and historical landmarks to explore.', 'Amenities: Free Wi-Fi, air conditioning, and a fully-equipped fitness center.', 'Additional Services: On-site restaurant serving local and international dishes, bar, and conference facilities.'], 'Rooms': ['The hotel offers modern rooms featuring a flat-screen TV with satellite channels, minibar, work desk, and private bathroom with free toiletries. Some rooms have balconies with city views.'], 'Nearby Attractions': ['Germia Park: 3.5 km', 'Ethnological Museum: 1.8 km', 'Mother Teresa Square: 1 km']}","A well-appointed hotel offering stylish rooms and excellent service, ideal for both short and extended stays in Pristina.",42.6606487,20.2894761,https://maps.app.goo.gl/w2xk551TzW4qGNzBA,hotel,2025-01-30T15:29:01.000000Z
273,27,Peja,Kosovo,Antika Hotel,"{'Location': [""Hotel Antika is located in the city center of Pristina, Kosovo. It is conveniently situated close to key business and cultural sites, making it a great choice for travelers exploring the city's landmarks.""], 'Facilities & Services': ['Activities: Proximity to shopping centers, cafes, and local attractions.', 'Services: Room service, daily housekeeping, and laundry services.', 'Amenities: Free Wi-Fi, air conditioning, and a 24-hour front desk.', 'Additional Services: A restaurant offering Mediterranean and European cuisine, a bar, and meeting facilities.'], 'Rooms': ['The hotel offers a variety of rooms, each equipped with a flat-screen TV with satellite channels, minibar, work desk, and a private bathroom with free toiletries. Some rooms feature a seating area.'], 'Nearby Attractions': ['Germia Park: 3 km', 'Mother Teresa Square: 1.5 km', 'Ethnological Museum (Ethnological Museum): 2 km']}","A charming hotel in Pristina offering comfortable accommodation and excellent service, perfect for both business and leisure visits.",42.674486,20.2820845,https://maps.app.goo.gl/wtAiNgtWyCdnAV6s9,hotel,2025-01-30T15:22:29.000000Z
272,27,Peja,Kosovo,Benelux Hotel,"{'Location': [""Benelux Hotel is located in the heart of Pristina, Kosovo. The hotel offers convenient access to the city's central areas, cultural attractions, and government institutions.""], 'Facilities & Services': ['Activities: The hotel is near shops, restaurants, and entertainment venues.', 'Services: 24-hour front desk, room service, and laundry services.', 'Amenities: Free Wi-Fi, air conditioning, and a fully-equipped business center.', 'Additional Services: On-site restaurant serving international cuisine, bar, and private parking.'], 'Rooms': ['The rooms are elegantly designed, featuring a flat-screen TV with cable channels, minibar, work desk, and a private bathroom with free toiletries. Some rooms come with a sitting area.'], 'Nearby Attractions': ['Ethnological Museum (Ethnological Museum): 2.5 km', 'Germia Park: 3 km', 'Mother Teresa Square: 1.5 km']}","A comfortable hotel offering modern amenities, ideal for both business and leisure travelers, with close proximity to Pristina's key attractions.",42.6604218,20.2830808,https://maps.app.goo.gl/WBmnPdT49U3iMSpK7,hotel,2025-01-30T15:14:21.000000Z
271,27,Peja,Kosovo,1863 Boutique Hotel,"{'Location': [""Located in the heart of Prizren, Kosovo, 1863 Boutique Hotel offers an ideal spot for those wanting to explore the city's rich history and culture. It is within walking distance to key landmarks like the Sinan Pasha Mosque and the Albanian League of Prizren Museum.""], 'Facilities & Services': ['Amenities: Free Wi-Fi, air conditioning, and a shared lounge.', 'Dining: The hotel features an on-site restaurant that offers local and international cuisine.', 'Additional Services: Airport shuttle services available, car hire, and concierge services.', 'Services: 24-hour front desk, room service, and daily housekeeping.'], 'Rooms': ['The rooms are stylishly furnished and feature modern amenities, including a flat-screen TV with cable channels, a minibar, a safe, and a private bathroom with complimentary toiletries. Some rooms offer a view of the city.']}","A charming boutique hotel combining modern comfort with a historical atmosphere, perfect for exploring Prizren’s cultural treasures.",42.6591576,20.2880084,https://maps.app.goo.gl/LThgbZBBaU8pvXxS8,hotel,2025-01-30T15:03:23.000000Z
270,27,Peja,Kosovo,Seraphine Plaza,"{'Location': ['Seraphine Plaza is located in the heart of Peja, Kosovo, offering easy access to the city’s main attractions and cultural landmarks. It is a modern establishment ideal for both business and leisure travelers'], 'Facilities & Services:': ['Dining: On-site restaurant serving local and international dishes.', 'Additional Services: Meeting rooms, business center, and parking facilities.', 'Services: 24-hour front desk, room service, and concierge services.', 'Amenities: Free Wi-Fi, air conditioning, and a fitness center.'], 'Rooms': ['The rooms at Seraphine Plaza are elegantly designed with modern furnishings. Each room features a flat-screen TV, minibar, air conditioning, and a private bathroom with high-quality amenities.'], 'Nearby Attractions': ['Sinan Pasha Mosque: 1.5 km', 'Ethnological Museum Peja: 1 km', 'Mirusha Waterfalls: 40 km', 'High Decani Monastery: 30 km']}","A sophisticated hotel offering comfortable accommodations and excellent amenities in a central location, perfect for travelers seeking both convenience and luxury.",42.6611554,20.2833213,https://maps.app.goo.gl/eoR2yiruzsT1qyDw5,hotel,2025-01-30T14:40:04.000000Z
269,27,Peja,Kosovo,Villa Liqenat,"{'Location': ['Villa Liqenat is located in the beautiful town of Peja, Kosovo, surrounded by stunning natural landscapes and providing easy access to various outdoor activities and cultural attractions.'], 'Facilities & Services:': ['Dining: On-site kitchen for self-catering or access to nearby restaurants for local cuisine.', 'Additional Services: Barbecue facilities, terrace with mountain views.', 'Services: 24-hour front desk, private parking available.', 'Amenities: Free Wi-Fi, air conditioning, a fully-equipped kitchen, and a spacious living room.'], 'Rooms': ['Villa Liqenat features spacious rooms with comfortable furnishings. The villa includes 4 bedrooms, a large living area with a flat-screen TV, a kitchen with a fridge and stove, and a private bathroom with modern amenities.'], 'Nearby Attractions:': ['Brezovica Ski Resort: 75 km', 'Mirusha Waterfalls: 38 km', 'High Decani Monastery: 28 km', 'Ethnological Museum Peja: 2 km']}","A peaceful retreat in Peja offering spacious accommodations and breathtaking views of the surrounding mountains, ideal for both relaxation and outdoor adventures.",42.6831719,20.081844,https://maps.app.goo.gl/g5626fuCMxKrCoTR7,hotel,2025-01-30T14:35:07.000000Z
268,27,Peja,Kosovo,Doa Boutique Hotel,"{'Location': [""Doa Boutique Hotel is located in Pristina, Kosovo, providing easy access to the city's key attractions, including Mother Teresa Square and the Kosovo Museum.""], 'Facilities & Services:': ['Dining: On-site restaurant offering a variety of local and international dishes.', 'Additional Services: Private parking available, airport shuttle upon request.', 'Amenities: Free Wi-Fi, air conditioning, minibar, and a flat-screen TV.', 'Services: 24-hour front desk, room service, and concierge services.'], 'Rooms:': ['The rooms are elegantly designed with modern furniture and include amenities such as a minibar, safe, and a private bathroom with a shower. Each room is equipped with a flat-screen TV and air conditioning.']}","A charming boutique hotel offering comfort and style, perfect for visitors seeking a peaceful and modern stay with easy access to Pristina's cultural sites.",42.6617695,20.2897551,https://maps.app.goo.gl/8T9CTLcQReXjFH3N7,hotel,2025-01-30T14:27:19.000000Z
